,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEdimgrey,kMEsilver
WDR26,139,silver,silver,2,-0.02823831553686533,0.10507341756869004,-0.05920429394921337
NAP1L4,140,silver,silver,2,0.03730654145621952,-0.07129019394168372,-0.07778784971799123
SLC25A3,139,silver,silver,2,0.04365045418713785,-0.0200037493120498,-0.08811400500167671
EIF4G2,139,silver,silver,2,0.22187693666390118,0.2282762160078103,-0.09824774693955368
NCL,138,silver,silver,2,-0.014396703802391499,0.14029301766236735,-0.12131818723750477
GNAS,141,silver,silver,2,0.02609693816853353,0.18239025016802538,-0.13753225691105384
PRDX1,107,silver,silver,2,0.18361371820129707,0.27064212477724214,-0.13800723349233257
APMAP,124,silver,silver,2,0.2432996671427125,0.20234821718552745,-0.20696219242542183
ATOX1,120,silver,silver,2,0.1497129710953316,0.27205266966081226,-0.22536718963388858
SAT1,138,silver,silver,2,-0.03697587696803692,0.1279566513308198,-0.2804031957285776
HSPE1,122,silver,silver,2,0.0682554843866511,0.17597541563262503,-0.31855465745169403
HSPB1,130,silver,silver,2,-0.05692647757286252,0.21111064804236065,-0.4628503914911482
