,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEdimgrey,kMEsilver
NR5A2,109,black,black,0,0.7765959421255686,-0.1789899960785861,0.48580160864815186
PTPRK,116,black,black,0,0.7748070545034983,-0.11561138075964313,0.5062137421224344
APOC2,103,black,black,0,0.7733147305215416,0.08135525220579573,0.239186450479951
CERS2,90,black,black,0,0.7729680976495994,0.07450886168528527,0.1584819976254804
SELENOP,114,black,black,0,0.772862731501801,-0.1528245587337745,0.36978655612014816
FMO5,95,black,black,0,0.772348678072776,-0.04492593933494513,0.18975563802999168
IMMP2L,141,black,black,0,0.7720016048751167,-0.28430584710481516,0.6932194777304332
THRB,107,black,black,0,0.7714736480967052,-0.18529340613276687,0.5502653802233151
BHMT2,92,black,black,0,0.7703219125690639,0.053309002122148494,0.20775786455637157
ITGA1,118,black,black,0,0.7702947098462252,-0.13455484341489424,0.5043967975045959
HMGCS2,83,black,black,0,0.7699636695230615,-0.017194983604955073,0.2125767457527401
VTN,112,black,black,0,0.7698205654813199,-0.02686631001001122,0.3545203952343761
AOX1,96,black,black,0,0.7694527471679382,-0.07841255085111584,0.29800227122215417
LRP6,104,black,black,0,0.7688026770596981,-0.1763314916164468,0.4647136031877759
SYBU,100,black,black,0,0.7665739809294274,-0.16681985488238282,0.34342564933584163
ITIH4,96,black,black,0,0.7663820444084976,-0.11158885987335511,0.3166944764127315
HSD11B1,86,black,black,0,0.7644709802035767,-0.04009113271185603,0.1847632840576665
IGFBP2,86,black,black,0,0.7639529175388992,0.03821384241443654,0.1177934625578367
SLC39A14,111,black,black,0,0.7633572125151324,-0.22736948421341927,0.4894602527845025
FN1,119,black,black,0,0.7627494664317089,-0.01962769944896865,0.36276917770319195
EPAS1,116,black,black,0,0.7598079457291221,-0.17901361705041507,0.442800963785818
RBFOX2,113,black,black,0,0.7581314100579355,-0.1553044640238804,0.4395283278818418
AMBP,102,black,black,0,0.7580586043148947,0.11126922437071156,0.17383990181458514
SORBS2,119,black,black,0,0.7576496704728723,-0.3077004581725557,0.5984220828263018
MLXIPL,90,black,black,0,0.7555139650693485,-0.21454252863394968,0.2710101491033492
GPAM,94,black,black,0,0.7546952778644247,0.05041094897199348,0.22205654177406808
MIR122HG,69,black,black,0,0.7546811801685248,0.0930696439683272,0.09519534621958742
CPS1,106,black,black,0,0.7526616051464659,0.019507410777544167,0.2763319601329836
SLC1A2,98,black,black,0,0.7525110575870614,-0.09452497781229241,0.326380981419703
ATP1B1,101,black,black,0,0.7520073055296767,0.04895826901482003,0.242276020302982
NEDD4,113,black,black,0,0.7517067232115175,-0.15836752324076617,0.5175801501631315
LEPR,106,black,black,0,0.7505019517736543,-0.0970812463890052,0.37627640407411017
C8G,70,black,black,0,0.7504932387984812,0.10793429876273924,0.08778314848445316
TNS3,123,black,black,0,0.7477420559594972,-0.09827878253973349,0.5000220761611284
PCSK6,101,black,black,0,0.7470010284270225,-0.06748526264334744,0.3237607752579349
ASPH,114,black,black,0,0.7467151424729831,-0.2977418130955411,0.5757791424419013
C3,121,black,black,0,0.7467037941130122,0.10052249662436244,0.3077359789129779
PDK4,105,black,black,0,0.746171395213784,0.1441663984283926,0.19038834664032614
PDE4DIP,107,black,black,0,0.7451901796090702,-0.32859349624826967,0.4464806491787606
ALDH2,106,black,black,0,0.7448224058394941,-0.13954409522081637,0.40788194168860414
DAPK1,118,black,black,0,0.743119416558116,-0.3064523986581025,0.662309715744034
IMPAD1,96,black,black,0,0.7425281757675888,0.1627172038093235,0.1751471217512332
APOE,115,black,black,0,0.7420660975856646,0.12808547325745717,0.24616672717146657
EPS8,123,black,black,0,0.7418651024848787,-0.200911004012174,0.5298672460164858
EPB41L5,111,black,black,0,0.7418318750888703,-0.2022290303086464,0.5248216777156305
DAAM1,116,black,black,0,0.7416645420115323,-0.08438140271035276,0.43689743637213385
SORBS1,118,black,black,0,0.7413538139051274,-0.13326428970043425,0.44103869699187476
ZBTB20,141,black,black,0,0.7401863268486233,-0.24223904934640675,0.6907483795764927
COBLL1,116,black,black,0,0.7385068778494946,-0.1519362101039991,0.456850919133069
MBD5,141,black,black,0,0.7371362183461517,-0.2815724261151545,0.667086871244585
ALDH3A2,97,black,black,0,0.7369663137640727,-0.08499179165671888,0.24833742424498595
RAB4A,97,black,black,0,0.7367928971050465,0.08503422172356852,0.18284875011463622
PKP4,117,black,black,0,0.7356459307442654,-0.0770447323378967,0.5057407915629831
CCDC50,112,black,black,0,0.7353467076130386,-0.06898964352878165,0.440846955269093
HNRNPA2B1,141,black,black,0,0.7347831492911642,-0.13804977817869382,0.3753551452012253
EBNA1BP2,87,black,black,0,0.7334949808851599,-0.03700852731598355,0.22331652095161558
PARD3,126,black,black,0,0.7325406756600135,-0.3353614097922652,0.6326775685810229
