,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEdarkgrey,kMEdimgrey,kMElightgrey
RPL37,97,black,black,0,0.8848538717211915,-0.3677891088266456,-0.6877045879437179,-0.27150161483999247
RPL36,97,black,black,0,0.8831998244706943,-0.4004295736199791,-0.6639462056895477,-0.2237704638199985
RPS14,98,black,black,0,0.8821091766271529,-0.47817740349987015,-0.7220006054749373,-0.27784431102891977
PFN1,97,black,black,0,0.8817715474731747,-0.346811850392584,-0.632057051676769,-0.17871014452926978
RPL11,97,black,black,0,0.8816728341052935,-0.3668785371224336,-0.6059565455038102,-0.13546126962386512
RPL24,97,black,black,0,0.8806444031287791,-0.4267861571549889,-0.7275375129222001,-0.34948086282231894
RPS28,98,black,black,0,0.8805354548752563,-0.48154613604381974,-0.6588749678609284,-0.20244533465220893
RPL15,96,black,black,0,0.8794558154717111,-0.19964839669875253,-0.6288921072360165,-0.13422531293635578
RPL30,98,black,black,0,0.8769357616657933,-0.39205522889419187,-0.7224664478477436,-0.3224185961620164
RPS16,97,black,black,0,0.8728864300519211,-0.37299532370349703,-0.6595429398357993,-0.2081796477611789
RPS24,99,black,black,0,0.8719977082687472,-0.5434161370552835,-0.7768512214220932,-0.4296840567458298
RPL28,97,black,black,0,0.8718573992943316,-0.40282684921924633,-0.6183439842110833,-0.1761908361380238
RPL34,98,black,black,0,0.8703735010753519,-0.5593069990508984,-0.6859422133412967,-0.26732399342848
RPL23,97,black,black,0,0.8691157992363076,-0.4685213197710767,-0.7584102386909958,-0.29612169550141126
HLA-A,99,black,black,0,0.86688388168377,-0.5622750620014622,-0.5180970517252952,0.0011369601306045393
RPLP2,97,black,black,0,0.8659266309010891,-0.3513008326002486,-0.6025600701859786,-0.18836114448052402
RPL39,97,black,black,0,0.864853702999807,-0.5749778317772337,-0.7383059823752945,-0.32084724714442114
RPS5,95,black,black,0,0.8638452484117981,-0.3927295749738856,-0.6764276182066036,-0.15490124625688306
RPL10A,97,black,black,0,0.8635100690914395,-0.339970880310835,-0.6660705101463454,-0.24031496118202503
ACTB,97,black,black,0,0.8626805625369026,-0.3573829360498836,-0.5813327847683513,-0.06041765479978691
RPS15A,98,black,black,0,0.8623913702487112,-0.4752003395594475,-0.7238127391752033,-0.2775967311764822
IFITM2,96,black,black,0,0.861732283595342,-0.3469356486289116,-0.5597965108134052,-0.013904642130517066
RPL31,98,black,black,0,0.8616079694777151,-0.4496115404480757,-0.721608273191283,-0.35305274561864236
B2M,99,black,black,0,0.8615032059753754,-0.722575573300626,-0.6161080411340577,-0.03207821553930763
RPL18A,97,black,black,0,0.8596053148959865,-0.3845276800403006,-0.6677172554697252,-0.23812163439137765
RPL27A,98,black,black,0,0.8578939555440509,-0.5133887023218991,-0.7106425257187311,-0.33360545128793684
RPL3,96,black,black,0,0.8550444118648174,-0.1730336689176418,-0.49563688331081207,-0.020812741665956033
RPS25,97,black,black,0,0.8549706680982097,-0.3417821311190219,-0.6732000216788401,-0.2613187978395312
RPS27,98,black,black,0,0.8522588377960755,-0.5490198349623426,-0.6666473829906245,-0.21033824170262816
RPL8,98,black,black,0,0.8519324185474549,-0.389622572595777,-0.7010746580562066,-0.27575524539127344
RPS4X,97,black,black,0,0.8499725176095478,-0.30478528461778587,-0.666588197294359,-0.22539142896799655
RPL37A,98,black,black,0,0.8490438744362334,-0.5766249518488692,-0.693765822004761,-0.3183147311150271
RPL35,97,black,black,0,0.8486041198088379,-0.437609767109107,-0.666461593728251,-0.2636918594814541
SERF2,97,black,black,0,0.847286536977313,-0.2797765573896724,-0.6880763901938499,-0.21327487818038368
RPLP1,98,black,black,0,0.846469193157109,-0.42176839584102555,-0.6164665348346543,-0.12625795549513488
RPS12,97,black,black,0,0.8455549272739873,-0.35391732733750575,-0.6699022384591926,-0.23538749711496426
