,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEdarkgrey,kMEdimgrey,kMElightgrey
CLDN1,36,darkgrey,darkgrey,1,-0.18943219184077797,0.772881925290073,0.1620767638318385,0.05445943825833599
CP,60,darkgrey,darkgrey,1,-0.1496847308852005,0.7726581755170594,0.04283567382394775,-0.09411414587393241
GPX3,48,darkgrey,darkgrey,1,-0.2042061618041149,0.7711855090648884,0.0873986168744921,-0.03047542527837835
PROX1,47,darkgrey,darkgrey,1,-0.10168712849859218,0.7709937968624495,-0.0019523487065446843,-0.10323497197409387
HPX,54,darkgrey,darkgrey,1,-0.03596829103020207,0.7702986358504165,-0.05488743386341017,-0.1645755290003529
ORM1,57,darkgrey,darkgrey,1,0.010705504912209302,0.7648785513940491,-0.1380132420032256,-0.31151586458582003
APCS,52,darkgrey,darkgrey,1,-0.04899323082019079,0.7639725339174015,-0.04367714783968623,-0.23318926882571497
C4BPA,53,darkgrey,darkgrey,1,-0.030872776956979323,0.7637250767115822,-0.14006009841253586,-0.2068282573626866
AZGP1,56,darkgrey,darkgrey,1,-0.010889606541047366,0.7605135222297377,-0.12497566975406212,-0.2596006929172842
PCK1,57,darkgrey,darkgrey,1,0.006206785719234919,0.7513934564113508,-0.11683502341431425,-0.2747549004237842
TAT,57,darkgrey,darkgrey,1,0.008758029938745245,0.7505963488597629,-0.13726799168518294,-0.23274708948952746
ITIH2,54,darkgrey,darkgrey,1,-0.03868696881043226,0.7492330408039652,-0.03030550487244471,-0.1497139207655531
USP15,99,darkgrey,darkgrey,1,-0.477747444529403,0.747468445502228,0.39704022567736136,0.011334086447149654
C3,74,darkgrey,darkgrey,1,-0.03918151889712695,0.7466649865667824,-0.03732310869198563,-0.16766241234069992
HGD,47,darkgrey,darkgrey,1,-0.051174372733606685,0.7457419771211599,-0.07277658458198628,-0.16468980439097117
VPS13C,99,darkgrey,darkgrey,1,-0.42800570603979726,0.7408741463421572,0.4395850242746407,0.10839280324531712
C1R,59,darkgrey,darkgrey,1,-0.04921752144165295,0.7392352531465668,-0.010322464197829853,-0.14047468048080775
PCM1,99,darkgrey,darkgrey,1,-0.49374918871415585,0.7391804326695426,0.4690048867966497,0.08802760474864822
ITIH1,52,darkgrey,darkgrey,1,-0.006771929680309697,0.7366579052786035,-0.1195878500221604,-0.228639163308526
MBD5,99,darkgrey,darkgrey,1,-0.33018830242484576,0.7365647001566477,0.42068994295238293,0.061290300856722386
ARHGAP15,99,darkgrey,darkgrey,1,-0.6272025901816479,0.7365511810470049,0.6359924336841378,0.2092401154017807
C8A,32,darkgrey,darkgrey,1,-0.187913579668512,0.7352847030490502,0.15160962209479936,0.10386401992785649
SERPINA3,46,darkgrey,darkgrey,1,-0.1061193099277232,0.7344837465552086,0.004319419083084607,-0.21174388366927785
G6PC,39,darkgrey,darkgrey,1,-0.16324403584118916,0.7343788564298547,0.12332105981004585,0.12183076088116558
ADH1B,60,darkgrey,darkgrey,1,-0.0026995947420675875,0.7323573831739884,-0.13348115164192337,-0.32493725943845686
RBM33,99,darkgrey,darkgrey,1,-0.4386435040923873,0.7319615736871222,0.49662385534798065,0.1733273534902876
VWA8,99,darkgrey,darkgrey,1,-0.3726049733991022,0.7318083271593252,0.44085209769039446,0.2545648268131517
IGFBP4,58,darkgrey,darkgrey,1,-0.15272549712149702,0.7286031149028818,0.08168856348069595,-0.036895033626157835
APOB,75,darkgrey,darkgrey,1,-0.022164989291690942,0.727920303519174,-0.08887257684481456,-0.2331335688666168
TMEM131,99,darkgrey,darkgrey,1,-0.38371548710169895,0.7251745685781597,0.39134019726478597,0.057000540335868266
VPS13B,99,darkgrey,darkgrey,1,-0.616540939906034,0.7240994181563709,0.60012643496662,0.20978666695985748
SLC38A4,34,darkgrey,darkgrey,1,-0.18971697635865897,0.7240952395910887,0.1704058524428334,0.12816091473456956
TMEM176B,53,darkgrey,darkgrey,1,0.03907136170634918,0.7224825259527584,-0.228425990687394,-0.3313758047100571
USP25,99,darkgrey,darkgrey,1,-0.37297580344974984,0.7219811531701358,0.40504005559518924,0.0768762789433967
FAM172A,99,darkgrey,darkgrey,1,-0.3568178180280748,0.7216221838370485,0.47346959423015206,0.17632135812095512
BAAT,62,darkgrey,darkgrey,1,-0.04700622328831757,0.7205281534985244,-0.12267760815674156,-0.3006580594296665
TF,68,darkgrey,darkgrey,1,-0.21967076618789347,0.7165883758745403,0.015842420539057104,-0.1881025653120509
CPS1,68,darkgrey,darkgrey,1,-0.11525694478833352,0.7158520498360182,-0.025451438094629887,-0.15767768885446745
F2,60,darkgrey,darkgrey,1,-0.061001342295126104,0.7118885049606065,-0.04414422041063221,-0.20687380228002186
TTC17,99,darkgrey,darkgrey,1,-0.528779588893867,0.7102266509183124,0.5116942707431436,0.10149017150338543
EFR3A,99,darkgrey,darkgrey,1,-0.44856099966120216,0.708220838874007,0.37373603948056666,0.0670000130854883
C5,48,darkgrey,darkgrey,1,-0.23388086475322728,0.7062844494271483,0.17448510834047812,0.05152655671032132
ONECUT2,30,darkgrey,darkgrey,1,-0.17590343086147073,0.7047672058208463,0.10638659695221622,0.11213211305982353
MYCBP2,99,darkgrey,darkgrey,1,-0.5083272568646077,0.7043527187659486,0.6125692818292231,0.28055845398770096
KNG1,60,darkgrey,darkgrey,1,-0.1277244869620122,0.7002368144452992,-0.11440745825973936,-0.2803549959693567
DSP,42,darkgrey,darkgrey,1,-0.11476958136858507,0.7002001099390379,0.049136391123190834,0.09257427818982165
F5,57,darkgrey,darkgrey,1,-0.06147605133603263,0.6999879576344646,-0.016364043436054774,0.06121686019603054
IGFBP2,54,darkgrey,darkgrey,1,0.026686638782021,0.698995619819572,-0.1932411684309976,-0.30795498051402376
CPB2,52,darkgrey,darkgrey,1,-0.13221714417383273,0.6959858850310195,-0.03711925432985553,-0.13278990763628726
ACSM2A,45,darkgrey,darkgrey,1,0.016956104483106638,0.6956977467858738,-0.1972196945585127,-0.2505727750373461
FGG,71,darkgrey,darkgrey,1,-0.04645326300172878,0.69543727912771,-0.06647753429932704,-0.164842102979425
ASS1,50,darkgrey,darkgrey,1,-0.03544365958151686,0.6944705061239562,-0.05739333235539564,-0.2017909035343875
PCGF5,99,darkgrey,darkgrey,1,-0.4118104238246361,0.6936365006397387,0.3669628826501199,0.058166686270546615
ANG,50,darkgrey,darkgrey,1,0.06355933353234142,0.6934220820744063,-0.24009102565629772,-0.3917668301268981
ASCC3,99,darkgrey,darkgrey,1,-0.5004020759111293,0.6915238420473546,0.4797005026177582,0.20645581656143136
