,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEdarkgrey,kMEdimgrey,kMEgainsboro,kMErosybrown,kMEsnow
RPS4X,6,darkgrey,darkgrey,1,-0.8117280723694933,0.7159328527335228,-0.4128533119650011,0.1319045589063629,0.5076400875423102,-0.49713649913484004
GRHPR,6,darkgrey,darkgrey,1,-0.8631130003786585,0.7098848024085541,-0.6021670475322849,0.4269977431438315,0.22485916651224278,-0.4064814735826589
PTPRC,6,darkgrey,darkgrey,1,-0.6678191984206412,0.7068661948868056,0.05440041826577525,-0.329942141327061,-0.005752961390756711,-0.7014739432467935
ANKRD11,6,darkgrey,darkgrey,1,-0.7751679583922799,0.700275407684235,-0.32575990324897847,0.2180728470955833,-0.043771989578203566,-0.5442801745543776
ELF2,6,darkgrey,darkgrey,1,-0.6092953105602199,0.6951382382117136,0.09325709357179904,-0.15371815557940183,0.5415677271073139,-0.6617517783162103
ZFP36,6,darkgrey,darkgrey,1,-0.7339320969196271,0.6944704047940718,-0.23081749340854252,0.17487536919650204,-0.41762713429532056,-0.5463290694705237
HSP90AB1,6,darkgrey,darkgrey,1,-0.5522804188137234,0.6786621891711216,0.2335568662108245,0.038428628425820156,-0.6567433673246067,-0.7152524334074992
MED13,6,darkgrey,darkgrey,1,-0.8214912538346025,0.6718270583182325,-0.5976227281633959,0.5301134393642034,0.009810186943066544,-0.3671115439586199
RACK1,6,darkgrey,darkgrey,1,-0.6388354512145598,0.6547187456400481,-0.04295029693026587,-0.07874624596171909,-0.33351573816237085,-0.585604627776228
MT-ND6,6,darkgrey,darkgrey,1,-0.666450712678242,0.6530917731640504,-0.18529697219493838,0.08051442311031683,0.6501664015965748,-0.5316327894248184
MT-ND4L,6,darkgrey,darkgrey,1,-0.7281032457524154,0.6520436855168938,-0.36453690045297177,0.2055138379503193,0.6041693808971224,-0.46086313604970974
NUMB,6,darkgrey,darkgrey,1,-0.6746084200819343,0.6429365812762682,-0.3060749257995566,0.6268702574471368,-0.04507869839323669,-0.44766862718284833
GNAS,6,darkgrey,darkgrey,1,-0.6008651355339338,0.6405773296341964,0.050573922610054264,-0.08958836610326036,-0.38334655189072453,-0.6453570816492686
CEMIP2,6,darkgrey,darkgrey,1,-0.7486320455226713,0.6395353591953579,-0.41526560095946413,0.07952718650997284,0.4798323042289784,-0.43904344425400244
INTS6,6,darkgrey,darkgrey,1,-0.5302415059173226,0.6155646710184,0.19658456564217772,-0.2863075466290191,-0.5171416179882371,-0.6607684883490745
POR,6,darkgrey,darkgrey,1,-0.7672757094610071,0.613276807055299,-0.595859262289234,0.7062135028559247,-0.4928609606578576,-0.32590258621495155
HECTD4,6,darkgrey,darkgrey,1,-0.7345611967477128,0.6131872825285084,-0.5136110957786981,0.5198002591095001,-0.06860357424151874,-0.34020442634324116
COX8A,5,darkgrey,darkgrey,1,-0.5958756936829139,0.6093844135990645,-0.020758348388791113,-0.07408640230419922,-0.21904644570443932,-0.589892018753873
WWOX,6,darkgrey,darkgrey,1,-0.539054719774771,0.6086670235369874,0.15167418395696625,-0.17310390969183212,-0.5181429576096431,-0.6543823594323682
GNAQ,6,darkgrey,darkgrey,1,-0.6857026095824875,0.604902412364022,-0.3808691527156304,0.30848494336582477,0.07968958990221262,-0.38399168478201956
KRTCAP2,5,darkgrey,darkgrey,1,-0.5601675391047783,0.6027392328086535,-0.0605374319590494,0.32969786452922023,0.2966853618171193,-0.5280373764212694
AFF1,6,darkgrey,darkgrey,1,-0.6976442087186017,0.601892011744218,-0.48513905989848627,0.7534367390884995,0.021671345387033476,-0.34331282840111116
GPATCH8,6,darkgrey,darkgrey,1,-0.6887633183672079,0.5993740061773585,-0.44079300638085933,0.5865961511825389,0.2808902365191241,-0.3760356585287882
CEBPD,6,darkgrey,darkgrey,1,-0.7625023274649343,0.593010861164058,-0.676771373546747,0.7441055257656184,0.09643471587710106,-0.25877513314765516
ENO1,6,darkgrey,darkgrey,1,-0.4652467942708714,0.5928842014836266,0.17720783424104797,0.19713009638408713,0.22062402130627803,-0.6007544066084101
COX6A1,6,darkgrey,darkgrey,1,-0.4568543747197224,0.5919200877429539,0.3459401171482746,-0.4043132584123101,-0.4888536211661733,-0.6966650354291513
TPRG1,5,darkgrey,darkgrey,1,-0.554158067374817,0.588323830247214,-0.10105768855543248,0.38454732930265967,0.35161208742357586,-0.4847042780499706
NFIC,6,darkgrey,darkgrey,1,-0.7533330211986523,0.5870829596293288,-0.6024974436044616,0.5167282343930102,0.06737388577392735,-0.3209915557007161
PPP2R5C,6,darkgrey,darkgrey,1,-0.7485861250512142,0.5766944893016752,-0.6599061039053088,0.5765191209398174,0.4574316461167614,-0.26414282633123193
ANKHD1,6,darkgrey,darkgrey,1,-0.37617019562031995,0.5698572100237352,0.5158447754252868,-0.5061616861320054,-0.4666997442014485,-0.7423432994694337
H6PD,6,darkgrey,darkgrey,1,-0.3428591487959017,0.566774497772124,0.5114598964725062,-0.34790105400432497,0.45809638946208725,-0.7148578070208997
MIF,6,darkgrey,darkgrey,1,-0.6701688514423573,0.5610781862082371,-0.504439292567842,0.6022908299036351,0.43177762438115164,-0.3017179729704965
AHR,6,darkgrey,darkgrey,1,-0.4141985095227776,0.5591922279720467,0.31035836193463096,0.043005901903636956,-0.7831185748195176,-0.6403149172753406
AFF4,6,darkgrey,darkgrey,1,-0.7877661852379523,0.5500033753862251,-0.8052529267954355,0.6837234962441379,-0.1951027128818408,-0.19388365180305808
COX7C,6,darkgrey,darkgrey,1,-0.6373174278721957,0.5490509496610078,-0.45250585098549423,0.7012559714518323,0.1964241701672542,-0.3128826291887112
UBB,5,darkgrey,darkgrey,1,-0.5607298545875079,0.5449899360910727,-0.2415587767347559,0.49973481071223647,0.36112452074773727,-0.38940746792169306
DYNC1H1,6,darkgrey,darkgrey,1,-0.42626920081720443,0.5380837701200301,0.1607835890798868,0.21902122848165517,0.07805441799486139,-0.561070269688288
GPBP1,6,darkgrey,darkgrey,1,-0.7293956918930643,0.5352224343093644,-0.7305884019265856,0.8055319533113342,0.12138767833780345,-0.19996841799722273
B4GALT1,6,darkgrey,darkgrey,1,-0.6243165447211553,0.5322085054788535,-0.4592107742454501,0.598726662005537,0.3969157899462492,-0.28490103587203625
ASXL1,6,darkgrey,darkgrey,1,-0.7022130290969891,0.5101355954881971,-0.7317504148827046,0.7831323088592066,0.25010065298977896,-0.16425693289363122
TAPBP,6,darkgrey,darkgrey,1,-0.443018175687203,0.5020314059459068,0.10604600520499805,0.04853245747661696,-0.8527676933537187,-0.5156772753821558
HERC1,6,darkgrey,darkgrey,1,-0.7083322456036788,0.47705950087558974,-0.7643628068132279,0.5056532208971327,0.0044929232553934636,-0.13194271402228147
ATP11B,6,darkgrey,darkgrey,1,-0.6565135018370266,0.46838661766811895,-0.6918628750148644,0.6185715693827116,0.2112181952887048,-0.1339000665418651
NME2,6,darkgrey,darkgrey,1,-0.5647254987937969,0.467285487749581,-0.4551910691439228,0.5792993592106188,0.48011939850103297,-0.237120031668507
EIF4G2,6,darkgrey,darkgrey,1,-0.6793136464620131,0.45082947837964427,-0.8084354061603728,0.79235773460818,0.23557088044339927,-0.09094932129482511
PDE3B,6,darkgrey,darkgrey,1,-0.2537513795776569,0.4314210427550381,0.39771511504330503,-0.29734746272816753,0.6601884330475145,-0.5453488901657537
SERBP1,6,darkgrey,darkgrey,1,-0.47354630616690374,0.3929648625333778,-0.39357999553318623,0.47711077089964515,0.6216216098271683,-0.18654059878014842
FNDC3B,6,darkgrey,darkgrey,1,-0.5729773794358032,0.3750389520610124,-0.689804789713927,0.8316915282867091,-0.542489103723183,-0.06522823814100616
KTN1,6,darkgrey,darkgrey,1,-0.3154091584224695,0.36575179312823963,0.02841752703518391,0.33773551397585777,-0.12373809593507905,-0.36030069184179125
DUSP16,6,darkgrey,darkgrey,1,-0.24765420091027593,0.34824594212164867,0.1481175558222198,0.06555364690111319,0.6175578308004862,-0.35851591374061426
PIP4K2A,6,darkgrey,darkgrey,1,-0.49050834876283766,0.3338320620872895,-0.5655676220091965,0.8309608167678585,-0.6303633216633984,-0.08534767757030672
COX4I1,6,darkgrey,darkgrey,1,-0.5553718341792047,0.33364489718669404,-0.7392444331525856,0.8366337296623492,-0.5464355475666176,-0.015570625444915272
SARAF,6,darkgrey,darkgrey,1,-0.6050176529536249,0.31643229876201445,-0.9465430328966038,0.876685598340616,0.013779890378342333,0.09012133414567539
IFITM3,6,darkgrey,darkgrey,1,-0.41805257907552507,0.30064334353196526,-0.5009067976837165,0.8632187369892218,-0.22527300241946693,-0.05328896648393241
RABGAP1L,6,darkgrey,darkgrey,1,-0.4513714637732528,0.28249716107721357,-0.489213839149065,0.08114429293919712,0.26464012617493515,-0.09592536687789623
MBP,6,darkgrey,darkgrey,1,-0.43098333211783696,0.2817430342611215,-0.5090223899448502,0.559387694483794,-0.0016572933823793903,-0.0784700327894511
PPP1CB,6,darkgrey,darkgrey,1,-0.41335954601579716,0.24875532461875133,-0.6292591444723991,0.8241762558048943,0.1711995397639047,0.050080986910615216
PTBP3,6,darkgrey,darkgrey,1,-0.04252418731132092,0.2191686325827573,0.40628734800745286,-0.035697380041259795,0.32187160371463397,-0.3556533899695594
RAPGEF2,6,darkgrey,darkgrey,1,-0.1875214879737083,0.17939860450836084,-0.11657316090159439,0.10979103914146335,0.8562358528418916,-0.10645506602859375
NPEPPS,6,darkgrey,darkgrey,1,-0.4494752012817424,0.15003248021561702,-0.9391573121165423,0.8957616210403372,-0.2250364593680362,0.24115502561073784
MARK3,6,darkgrey,darkgrey,1,-0.4328280569161558,0.13275209509089334,-0.9551074728646869,0.9489124359809212,-0.053398483937623684,0.26484813897977166
RBL2,6,darkgrey,darkgrey,1,-0.45276692340690783,0.1327421162479511,-0.9786798517974987,0.8248919921280088,-0.07915705291136738,0.26420668680176507
ACADSB,6,darkgrey,darkgrey,1,-0.03001829264378706,0.09666656810503262,0.10329834783424184,0.13895202915545238,0.5533830727047248,-0.12186293052674453
STAU2,6,darkgrey,darkgrey,1,-0.19682171963282397,-0.000983761819196231,-0.6740333841262891,0.8187100353291336,0.3453503091087014,0.28986135483432696
SAR1B,6,darkgrey,darkgrey,1,0.09184818689012846,-0.13737076796171752,-0.22056322399501857,0.5899485995973855,0.12525996559037464,0.25063276054830336
NAV2,6,darkgrey,darkgrey,1,0.06366597857227335,-0.18793423428957087,-0.43044520351192084,0.662549113029424,0.3825410613907544,0.3682577412138769
NUP98,6,darkgrey,darkgrey,1,0.04898529415244506,-0.33017525302412215,-0.7743249810525322,0.57705569422333,0.32600613811626056,0.6044724922637015
CAST,6,darkgrey,darkgrey,1,0.07409250198964214,-0.36777768100374414,-0.76573673086109,0.39520523981259964,0.033397172580180906,0.6464703297108741
LRMDA,6,darkgrey,darkgrey,1,0.29047636610084887,-0.40649088440993775,-0.33338778125231244,0.4576634928792174,0.4752177721086604,0.5171520024815023
RHEB,6,darkgrey,darkgrey,1,0.255216829047567,-0.4078378266969195,-0.3646383193628303,0.42509324417340244,-0.30777826961026333,0.4986109128506494
HECTD1,6,darkgrey,darkgrey,1,0.11284520645563115,-0.4079474509878788,-0.8384227922862632,0.7694813671361037,0.23714884965865327,0.7219345870551387
GPT2,5,darkgrey,darkgrey,1,0.16240769261529253,-0.47609675634896514,-0.8423485173271253,0.6994215247552757,-0.03204480304211423,0.7731772585299526
NAP1L4,6,darkgrey,darkgrey,1,0.24892110985542826,-0.4986443117119504,-0.6986272186070509,0.648918612273676,0.3553280309211321,0.7600557874264238
