"tf_name","motif_id","gene","grn_weight"
"KLF9","MA1107.2","ATAD3B",-0.000188214572669062
"CREB3","MA0638.1","AKTIP",-0.000190659464202076
"STAT1::STAT2","MA0517.1","ATAD3B",-0.000192734171966937
"FLI1::DRGX","MA1949.1","PSD4",-0.000263014125430076
"TBX21","MA0690.2","PSD4",-0.000539666373540432
"GLIS3","MA0737.1","CCL5",-0.000585465120219789
"ZNF354A","MA1978.1","CSNK2B",-0.000680566503915138
"BACH1","MA1633.2","ABCB10",-0.000716800432316168
"SP1","MA0079.5","AKTIP",-0.000778030802022064
"SP9","MA1564.1","ABCB10",-0.000785937385446743
"RBPJ","MA1116.1","CCL5",-0.000832868564949678
"FOXK1","MA0852.2","ATAD3B",-0.000886306360097618
"JDP2","MA0655.1","AKTIP",-0.00104677928657368
"ZNF460","MA1596.1","CCL5",-0.00104764863046469
"MAFF","MA0495.3","PSD4",-0.00110611516338002
"TBX18","MA1565.1","PSD4",-0.00112695847678308
"BACH1","MA1633.2","AKTIP",-0.00121404392649917
"ZNF549","MA1728.1","AKTIP",-0.00144398854736828
"ZNF667","MA1984.1","ATAD3B",-0.00150587787239614
"FOSL1::JUN","MA1128.1","AKTIP",-0.00151695195071062
"PHOX2B","MA0681.2","PSD4",-0.00170199090361563
"ZNF610","MA1713.1","CCL5",-0.00174593287630282
"HOXD3","MA0912.2","CSNK2B",-0.00180471708121901
"ZNF528","MA1597.1","AKTIP",-0.00199015492131384
"ZNF143","MA0088.2","PSD4",-0.00201590395203838
"XBP1","MA0844.1","AKTIP",-0.00201662986741339
"E2F6","MA0471.2","SNAI3",-0.00202265275029645
"ZNF460","MA1596.1","PSD4",-0.00227141801434275
"EOMES","MA0800.1","PSD4",-0.00235640320055166
"SOX10","MA0442.2","ABCB10",-0.00245224140463478
"KLF11","MA1512.1","SNAI3",-0.00248767483250773
"KLF10","MA1511.2","AKTIP",-0.00262768879052922
"ATF6","MA1466.1","AKTIP",-0.00267413049797574
"ZNF418","MA1980.1","CSNK2B",-0.00267435252253472
"KLF9","MA1107.2","SNAI3",-0.00267470691100584
"ZNF257","MA1710.1","CSNK2B",-0.00268787035288111
"ZNF708","MA1730.1","CCL5",-0.00285632620257761
"ZNF384","MA1125.1","CSNK2B",-0.00291087540464933
"HOXB6","MA1500.1","CSNK2B",-0.00294979909489911
"TFDP1","MA1122.1","CCL5",-0.00308873642278036
"SNAI1","MA1558.1","SNAI3",-0.0032726598574365
"PDX1","MA0132.2","CSNK2B",-0.00327872011777609
"IRF8","MA0652.1","PSD4",-0.00336470348774568
"FOSL1","MA0477.2","ABCB10",-0.00338892424814813
"TAL1::TCF3","MA0091.1","SNAI3",-0.0034381487247859
"EGR2","MA0472.2","CCL5",-0.00360978934491377
"ATF2","MA1632.1","PSD4",-0.00361146893797664
"ZNF354C","MA0130.1","PSD4",-0.00366654978742716
"FOSL2::JUN","MA1130.1","ABCB10",-0.00370184627992618
"RARA::RXRG","MA1149.1","SNAI3",-0.00372732219871158
"EHF","MA0598.3","ABCB10",-0.00373404328779257
"NFE2","MA0841.1","AKTIP",-0.00383093887882124
"MGA::EVX1","MA1960.1","AKTIP",-0.00384394221969462
"FOSL2","MA0478.1","ABCB10",-0.00388848470347269
"PLAG1","MA0163.1","AKTIP",-0.00389959287061581
"BACH1","MA1633.2","PSD4",-0.00396762053980356
"KLF4","MA0039.4","AKTIP",-0.00404261659159127
"FOSL1::JUND","MA1142.1","AKTIP",-0.00407177083749003
"GBX2","MA0890.1","CSNK2B",-0.00410716243448339
"MEF2C","MA0497.1","CSNK2B",-0.00413686142817349
"ZNF93","MA1721.1","FAAP20",-0.00418458081105248
"RXRB","MA1555.1","AKTIP",-0.00425483537577384
"FOS::JUND","MA1141.1","AKTIP",-0.00428924859055769
"BNC2","MA1928.1","ABCB10",-0.00445116257304304
"NR1H4::RXRA","MA1146.1","PSD4",-0.00457768030032784
"KLF16","MA0741.1","ATAD3B",-0.00457791161652645
"OSR2","MA1646.1","PSD4",-0.0045986151447556
