"tf_name","motif_id","gene","grn_weight"
"KLF1","MA0493.2","HSP90AA1",0.0598523760824641
"TFAP2B","MA0811.1","PLCG2",0.0596325637022429
"NKX2-3","MA0672.1","ZNF407",0.0585980167756422
"CTCF","MA0139.1","HSP90AA1",0.0585260288238677
"KLF7","MA1959.1","HSP90AA1",0.0579227830636774
"MAZ","MA1522.1","PLCG2",0.0574690162442048
"KLF3","MA1516.1","PLCG2",0.0558962047845938
"ELK4","MA0076.2","HSP90AA1",0.0557939917719171
"NKX2-5","MA0063.2","WNK2",0.0556738663527572
"CTCF","MA0139.1","PLCG2",0.0556479156591875
"E2F6","MA0471.2","RPL13",0.0543272933816583
"KLF10","MA1511.2","HSP90AA1",0.0535388489832229
"RORB","MA1150.1","MOK",0.0534995745678371
"BACH2","MA1470.1","HSP90AA1",0.0534909848306692
"FOXB1","MA0845.1","LEPR",0.0532235853741357
"JUNB","MA1140.2","HSP90AA1",0.0531782997979527
"ZNF574","MA1982.1","PLCG2",0.0531196240466551
"SP5","MA1965.1","PLCG2",0.0529385498950819
"TFAP2C","MA0524.2","PLCG2",0.0527919045740158
"ZNF343","MA1711.1","MOK",0.0524663884732265
"SREBF2","MA0596.1","PLCG2",0.0520599245181344
"HSF4","MA0771.1","HSP90AA1",0.0520584049474204
"REST","MA0138.2","CD55",0.0518769832861237
"ETV5","MA0765.3","THRA",0.0517924051762296
"ZKSCAN3","MA1973.1","PLCG2",0.0509390277940875
"KLF15","MA1513.1","TCF25",0.050604416525601
"ZNF317","MA1593.1","WNK2",0.0502667279667482
"ZNF707","MA1715.1","MOK",0.0500906400867649
"ZNF320","MA1976.1","PLCG2",0.0495484207629908
"ELK3","MA0759.2","HSP90AA1",0.0494345056814352
"RFX7","MA1554.1","RPL13",0.0488951317949151
"FLI1","MA0475.2","HSP90AA1",0.0486014430666357
"FOSL1::JUN","MA1129.1","HSP90AA1",0.0485269884865839
"ZNF530","MA1981.1","PLCG2",0.0485187682138217
"KLF5","MA0599.1","HSP90AA1",0.0483067101165646
"MSC","MA0665.1","RPL13",0.0481545429518059
"MYOD1","MA0499.2","WNK2",0.0479742401170298
"POU4F2","MA0683.1","ZNF407",0.0479102457654907
"HSF2","MA0770.1","HSP90AA1",0.0475075324035225
"ZFP14","MA1972.1","LEPR",0.0475021323833415
"FOSB::JUNB","MA1136.1","HSP90AA1",0.0471234147707681
"EGR2","MA0472.2","MOK",0.0470645804693733
"HSF1","MA0486.2","HSP90AA1",0.0468504718871127
"CTCFL","MA1102.2","PLCG2",0.0463917816996113
"KLF14","MA0740.2","HSP90AA1",0.0462952228224593
"GCM1","MA0646.1","WNK2",0.0462369191559435
"KLF6","MA1517.1","PLCG2",0.0462076344386039
"POU2F3","MA0627.2","LEPR",0.0459503027154936
"HES2","MA0616.2","RPL13",0.0458039587011888
"ELK3","MA0759.2","THRA",0.0456569895080032
"ELK1","MA0028.2","HSP90AA1",0.0454491110628402
"ZBTB26","MA1579.1","LEPR",0.0452519107973871
"ZNF684","MA1600.1","WNK2",0.0451807900208472
"FOS::JUN","MA1126.1","HSP90AA1",0.0451105501821866
"GLIS1","MA0735.1","WNK2",0.0450988384433494
"ZEB1","MA0103.3","WNK2",0.045048809532403
"FEV","MA0156.3","THRA",0.0448203030222159
"POU5F1","MA1115.1","ZNF407",0.0447146755540815
"ZBTB14","MA1650.1","CD55",0.0446553377303367
"HES1","MA1099.2","MOK",0.0437110112871898
"RORC","MA1151.1","MOK",0.0432790346320985
"OLIG1","MA0826.1","ZNF407",0.0431197177555356
"ELF1","MA0473.3","PLCG2",0.0426491305464555
"FOSL2::JUN","MA1131.1","HSP90AA1",0.0420145097595723
"TEAD4","MA0809.2","PLCG2",0.0413437350398645
"SOX12","MA1561.1","CD55",0.0412263381918703
"ETV5","MA0765.3","HSP90AA1",0.0412093918157936
"HES6","MA1493.1","ZNF407",0.0411278249679072
"HES1","MA1099.2","RPL13",0.0409529793884215
"NKX2-4","MA2003.1","ZNF407",0.0409295891372942
"ZNF354C","MA0130.1","RPL13",0.0408039971555318
"FOS::JUN","MA1126.1","PLCG2",0.0407281086126279
"CREB1","MA0018.4","HSP90AA1",0.0400054163069959
"ELF2","MA1483.2","LEPR",0.0394424502852216
"CTCF","MA1930.1","CD55",0.0393658042730057
