,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEdarkgrey,kMEdimgrey,kMEgainsboro,kMElightgrey
DSP,130,gainsboro,gainsboro,3,-0.7648065996490256,0.23840480363568298,-0.3578662901423273,0.8408786786411179,0.2833993602074697
ITIH2,147,gainsboro,gainsboro,3,-0.7285536085207699,0.22477502395275284,-0.3457224705081724,0.8370171165155057,0.1775055995679734
ANG,133,gainsboro,gainsboro,3,-0.6251451316639552,0.04939702530731369,-0.4843105955099508,0.8363355740513333,0.162362963452394
ASS1,126,gainsboro,gainsboro,3,-0.7588134530824335,0.21343216323343395,-0.37462168377943145,0.8315278189155167,0.1368253504974962
GPX3,120,gainsboro,gainsboro,3,-0.8080211777665497,0.23566839149197233,-0.3632783570468388,0.8306057193115639,0.2697335386800119
ABCA6,111,gainsboro,gainsboro,3,-0.729639354044885,0.1918252033648794,-0.4018182240506537,0.828734666570315,0.3731625613886306
ACSM2B,123,gainsboro,gainsboro,3,-0.6724945736742711,0.1270402639952845,-0.40697072154921515,0.8283627391173828,0.02180075254616655
CLU,163,gainsboro,gainsboro,3,-0.6899441337502763,0.18154718938370515,-0.35782562915579114,0.8261302145135584,0.03851569856154131
ANGPTL3,145,gainsboro,gainsboro,3,-0.689221569730225,0.17921611413462343,-0.3630985218631094,0.8255800905795477,0.050110154410786305
GATM,160,gainsboro,gainsboro,3,-0.6957821821774693,0.12371428928794022,-0.4089608029275221,0.8227956632882655,0.04536541083444032
C4BPB,122,gainsboro,gainsboro,3,-0.6471415370782462,0.10157771716746901,-0.4404079005029913,0.8220129815220067,0.18129070953844947
DHCR24,143,gainsboro,gainsboro,3,-0.712690851950161,0.13740127806969477,-0.4267570818468596,0.8157763354237032,0.24531951899274015
MAT1A,140,gainsboro,gainsboro,3,-0.7266822069274377,0.2000127292238612,-0.3460772454676,0.8151471467115985,0.023007454092048716
CFHR2,134,gainsboro,gainsboro,3,-0.6033832984051519,0.08057080896528916,-0.42173951949735095,0.8144156476459675,0.0384789402575546
CPS1,167,gainsboro,gainsboro,3,-0.6890666138332208,0.14290879757720476,-0.41723741875500975,0.8118101484644049,0.15360158160788523
SLC38A4,110,gainsboro,gainsboro,3,-0.7472746357222719,0.21438758798916305,-0.38939295348189307,0.8092550751253093,0.35421182812600743
FMO5,157,gainsboro,gainsboro,3,-0.6966380147017274,0.21473500676915067,-0.32947054076456356,0.8086370113792559,0.10185148045783497
RBP4,178,gainsboro,gainsboro,3,-0.654174951018207,0.13994663901934354,-0.3820111558335629,0.8080644887850448,0.05719755415220766
ADH1B,152,gainsboro,gainsboro,3,-0.7765814737256717,0.33788840382522306,-0.21521653150445194,0.806873180194806,-0.02270025980109329
APOC2,175,gainsboro,gainsboro,3,-0.6480535562851193,0.03193147166501383,-0.48575927892478804,0.8067927760875632,0.12671377641784598
PON2,142,gainsboro,gainsboro,3,-0.6692589392261935,0.140396411181104,-0.38893744040223827,0.805674879537513,0.15850795257357514
ABCB11,125,gainsboro,gainsboro,3,-0.7257910025110574,0.1838925389801031,-0.3963357274167158,0.8034874525897757,0.29079443301479174
PGRMC1,144,gainsboro,gainsboro,3,-0.6611624102155562,0.127677375307383,-0.4053280610939485,0.8034623681855627,0.18964618765492666
EGFR,118,gainsboro,gainsboro,3,-0.7682600327603258,0.24106926568400117,-0.35883294099909485,0.8022814679088865,0.42726978410798455
C8G,114,gainsboro,gainsboro,3,-0.5740911126037606,-0.0033575995253037677,-0.5086229103597784,0.802161385158847,0.1366459411138624
IGFBP4,144,gainsboro,gainsboro,3,-0.7637983956559196,0.2535203691941641,-0.32252154150031276,0.7999717434462484,0.2947998635919904
MYO1B,156,gainsboro,gainsboro,3,-0.7339241901017111,0.2374694986987082,-0.3197433732961743,0.7992936753908443,0.15828402140362344
CFH,167,gainsboro,gainsboro,3,-0.7440420605089787,0.2965394280222511,-0.26976664796507865,0.7982866613487504,0.2809844831034664
EPHX1,155,gainsboro,gainsboro,3,-0.5921876867513737,0.0722812061525745,-0.43041441329747543,0.7968704268540149,0.14486029853988114
FN1,177,gainsboro,gainsboro,3,-0.6523910014733112,0.05947959571228016,-0.4494517870152139,0.7956803648352283,0.17101490093534194
AMBP,173,gainsboro,gainsboro,3,-0.6255276392729701,0.10351090167825121,-0.39740219558924444,0.7952835259928792,0.04885737981662178
STARD10,148,gainsboro,gainsboro,3,-0.5772832633331694,-0.008099256615978979,-0.5068755712464182,0.7923146312069205,0.13564889940321592
ASGR1,129,gainsboro,gainsboro,3,-0.5947253428486509,0.04864806859904201,-0.44948066747234605,0.7910720026061308,0.1566546718525332
CYP27A1,134,gainsboro,gainsboro,3,-0.60806649244301,0.06385502212357835,-0.44020994576119454,0.7905016381455836,0.007980223738359174
KNG1,165,gainsboro,gainsboro,3,-0.6392329700418684,0.28447001307728986,-0.22369737875714926,0.7896572430186359,0.06313385294136084
SORD,148,gainsboro,gainsboro,3,-0.6316171176844761,0.19044775650587817,-0.3198895179868703,0.7881489170713071,0.03934321821132653
NADK2,157,gainsboro,gainsboro,3,-0.7537513438315793,0.354066602106504,-0.20735355483872153,0.7872126803825036,0.08827657015489629
ALB,221,gainsboro,gainsboro,3,-0.6630697162242362,0.0721929618803451,-0.4415051658024439,0.7831910740830761,0.14316983852854762
C1S,173,gainsboro,gainsboro,3,-0.6925897089877718,0.2223419648387186,-0.3086006653328839,0.7830430820028523,0.10459854432961681
F5,162,gainsboro,gainsboro,3,-0.6921409970507749,0.32716835707829045,-0.207582441773347,0.7814180595556398,0.098019822031223
LEAP2,143,gainsboro,gainsboro,3,-0.5989169472580743,0.05166357198493047,-0.43063461030030337,0.7813934415519699,-0.043684548031141184
PON1,116,gainsboro,gainsboro,3,-0.5797729777983163,0.05851890479878858,-0.4413632305535114,0.7805810497698299,0.12415444495539182
APOC4,134,gainsboro,gainsboro,3,-0.5268370960883088,-0.0042782235802536735,-0.4725229505122184,0.77934162206847,0.01854397590861019
PROC,103,gainsboro,gainsboro,3,-0.570689995631281,0.018217751352905584,-0.4987168952664219,0.7787525535126892,0.27834505749069494
TFPI,147,gainsboro,gainsboro,3,-0.6087730713949123,0.11171825023474148,-0.3849217430578325,0.7782810796391921,0.12581678013223568
