,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEdarkgrey,kMEdimgrey,kMEgainsboro,kMElightgrey
TXN,186,darkgrey,darkgrey,1,-0.050050037153984366,-0.3995911941145768,-0.5035039460756716,0.3166994415213033,-0.0158209637149603
NCL,218,darkgrey,darkgrey,1,0.035078424848076176,-0.4130943617727087,-0.4724755350848281,0.14726612906327374,0.20655420580971903
HSPA5,219,darkgrey,darkgrey,1,-0.055821571057137184,-0.4191444573435102,-0.5767012933395552,0.26670283888925334,0.2439674990468232
HSP90B1,223,darkgrey,darkgrey,1,-0.09226100422474712,-0.42205781325725417,-0.6209944712865064,0.33830199954127577,0.4408534890190664
TXNIP,223,darkgrey,darkgrey,1,0.46193339460476357,-0.42262976181839657,-0.03428632424736438,-0.5415700717657264,0.11448290615852663
CHCHD2,194,darkgrey,darkgrey,1,-0.19633669954730068,-0.42352715708045624,-0.6647092776883881,0.44203466530508023,0.20254487300123403
ROBO1,138,darkgrey,darkgrey,1,0.18190675317062185,-0.43199247738366203,-0.42108403050565624,-0.021426384586019327,0.5269423696863048
FTL,221,darkgrey,darkgrey,1,-0.24024584886079087,-0.43560057384082657,-0.7009650202969469,0.49339903650481337,0.06611692449608422
NDUFA4,186,darkgrey,darkgrey,1,-0.09917090879220788,-0.445405165744653,-0.6232760829164902,0.3721385112417405,0.19089267278814936
NME2,184,darkgrey,darkgrey,1,-0.09356344058366373,-0.4506253130926607,-0.6351272907516329,0.3746935583507893,0.15980958775722212
CEBPD,194,darkgrey,darkgrey,1,-0.22495056649193004,-0.4516305740501567,-0.70191531276466,0.41600806641839955,0.3141302062304172
COX5B,186,darkgrey,darkgrey,1,-0.05275563285092198,-0.4563763194286142,-0.5846407568510538,0.29929906514265947,0.06766419264242843
TSC22D3,222,darkgrey,darkgrey,1,0.36489284424566915,-0.46512498942296054,-0.18979725196514002,-0.3152822392371331,-0.10515779029122609
TAPBP,222,darkgrey,darkgrey,1,0.291225682271082,-0.46848004784347125,-0.3118303522259069,-0.21855158225332863,0.2921783564898603
COX6C,205,darkgrey,darkgrey,1,-0.0615601266228225,-0.47458788820887415,-0.5881697377450361,0.2771234049695291,0.04067417174717677
FTH1,218,darkgrey,darkgrey,1,-0.15933750120764018,-0.4795501939835768,-0.715768282645839,0.4707632065038948,0.15980677477149346
PSAP,215,darkgrey,darkgrey,1,-0.05323217938815715,-0.48416537556859796,-0.6037762687581204,0.25347818773244607,0.2387062078156724
ATP5MC2,204,darkgrey,darkgrey,1,-0.04846853699675828,-0.4854826718427918,-0.625488073747165,0.26689101644404367,0.15961334389163218
GPX4,188,darkgrey,darkgrey,1,-0.20086496001567955,-0.49434764746496906,-0.7528641832623076,0.4751185507479311,0.1740289126222179
CTSD,207,darkgrey,darkgrey,1,-0.11635606749997549,-0.49751326979598215,-0.6587136518738784,0.311860691270904,0.29460062731526554
PRDX1,189,darkgrey,darkgrey,1,0.1269679422002642,-0.5049744107599199,-0.5212574270898943,0.1537597158424904,0.048987205406003244
CALR,215,darkgrey,darkgrey,1,0.0008992561299324803,-0.5148963229787069,-0.634401023309786,0.23461511663555581,0.35957687531448035
RPS26,199,darkgrey,darkgrey,1,0.03689081470400252,-0.5172327338173751,-0.5962431636678254,0.22808174210287277,0.14958696852904602
ENO1,221,darkgrey,darkgrey,1,0.28901050487055774,-0.5242508873002726,-0.42915589566303186,-0.02638025082121786,0.025850210940031076
ZFP36L1,222,darkgrey,darkgrey,1,0.37726389796678517,-0.5309437352918658,-0.3268611001033801,-0.18826783716421788,0.07988817429698503
NFKBIA,221,darkgrey,darkgrey,1,0.38199774629166555,-0.534132078164476,-0.29961664466284976,-0.24908650289131773,0.038538110827091465
MIF,190,darkgrey,darkgrey,1,-0.11383294867081961,-0.5411060881718927,-0.7355661722952417,0.36753951454867806,0.3074668154972532
ELL2,222,darkgrey,darkgrey,1,0.33896943140982005,-0.5431171216673772,-0.4073708012600826,-0.0734015775400904,0.08222239860836707
TPT1,219,darkgrey,darkgrey,1,0.0339176232025148,-0.5522021631713712,-0.6054069708317245,0.1744019885580099,0.06482524781715746
COX6A1,187,darkgrey,darkgrey,1,-0.056733754997093364,-0.5524355147222769,-0.7005346864026414,0.3440788674940835,0.12367646724240462
COX8A,187,darkgrey,darkgrey,1,-0.11782449207607147,-0.5696367539011162,-0.7654140786006596,0.3813186207357123,0.17223626550453455
NACA,212,darkgrey,darkgrey,1,0.0561859121350239,-0.5696904334822582,-0.6325525626193694,0.16844020223372014,0.1227665444758344
