"","motif","observed","background","percent.observed","percent.background","fold.enrichment","pvalue","motif.name","p.adjust"
"MA0733.1","MA0733.1",25,5077,32.4675324675325,12.6925,2.55800925487748,5.27785666593372e-06,"EGR4",7.77080172941731e-05
"MA1633.2","MA1633.2",21,3770,27.2727272727273,9.425,2.89365806607186,5.92982225475607e-06,"BACH1",8.54882708394e-05
"MA0491.2","MA0491.2",20,3477,25.974025974026,8.6925,2.98809617187529,6.53165375599949e-06,"JUND.1",9.22429469214622e-05
"MA0477.2","MA0477.2",21,3801,27.2727272727273,9.5025,2.8700581186769,6.73660846849982e-06,"FOSL1",9.32346612040375e-05
"MA0099.3","MA0099.3",19,3184,24.6753246753247,7.96,3.09991516021667,6.98966736585576e-06,"FOS::JUN",9.48401924935722e-05
"MA1138.1","MA1138.1",19,3306,24.6753246753247,8.265,2.98552022689954,1.19593795072967e-05,"FOSL2::JUNB",0.000159151742674026
"MA0018.4","MA0018.4",19,3331,24.6753246753247,8.3275,2.96311314023713,1.33064227588128e-05,"CREB1",0.000171236595876284
"MA1981.1","MA1981.1",39,10986,50.6493506493506,27.465,1.84414165845078,1.33623933198256e-05,"ZNF530",0.000171236595876284
"MA1634.1","MA1634.1",22,4355,28.5714285714286,10.8875,2.62424143021158,1.59440091443404e-05,"BATF",0.000198815390154407
"MA0834.1","MA0834.1",12,1415,15.5844155844156,3.5375,4.40548850442843,1.60891067176977e-05,"ATF7",0.000198815390154407
"MA0490.2","MA0490.2",20,3729,25.974025974026,9.3225,2.78616529622161,1.83846681369908e-05,"JUNB.1",0.000223196321943818
"MA0462.2","MA0462.2",22,4434,28.5714285714286,11.085,2.577485662736,2.11439928704403e-05,"BATF::JUN",0.000252269708040425
"MA1951.1","MA1951.1",12,1490,15.5844155844156,3.725,4.18373572735989,2.67245692752304e-05,"FOS.1",0.000313447490482363
