"","motif","observed","background","percent.observed","percent.background","fold.enrichment","pvalue","motif.name","p.adjust"
"MA1644.1","MA1644.1",3,2674,11.1111111111111,6.685,1.6620959029336,0.268721526611882,"NFYC",0.615746014620603
"MA0600.2","MA0600.2",2,1517,7.40740740740741,3.7925,1.95317268488,0.273185795019914,"RFX2",0.623909472454721
"MA1100.2","MA1100.2",4,3951,14.8148148148148,9.8775,1.49985470157578,0.274468246273492,"ASCL1",0.624776402701501
"MA1974.1","MA1974.1",2,1533,7.40740740740741,3.8325,1.93278732091517,0.277238192259638,"ZNF211",0.62811268933024
"MA0755.1","MA0755.1",1,479,3.7037037037037,1.1975,3.09286321812418,0.27774925279632,"CUX2",0.62811268933024
"MA0137.3","MA0137.3",4,3994,14.8148148148148,9.985,1.48370704204455,0.281137642660677,"STAT1",0.633704393228626
"MA0730.1","MA0730.1",3,2764,11.1111111111111,6.91,1.60797555877151,0.28556707450664,"RARA.1",0.639982290547666
"MA1132.1","MA1132.1",3,2770,11.1111111111111,6.925,1.60449257922182,0.286694810019586,"JUN::JUNB",0.639982290547666
"MA1474.1","MA1474.1",2,1574,7.40740740740741,3.935,1.88244152666008,0.287622098786596,"CREB3L4",0.639982290547666
"MA1575.1","MA1575.1",2,1574,7.40740740740741,3.935,1.88244152666008,0.287622098786596,"THRB.1",0.639982290547666
"MA1718.1","MA1718.1",2,1590,7.40740740740741,3.975,1.86349871884463,0.291673001161196,"ZNF8",0.646915758985729
"MA1967.1","MA1967.1",4,4071,14.8148148148148,10.1775,1.45564380396117,0.293159707196477,"TFAP4::FLI1",0.648135838274639
"MA0084.1","MA0084.1",3,2821,11.1111111111111,7.0525,1.57548544645319,0.296300612064535,"SRY",0.651318234320229
"MA0671.1","MA0671.1",2,1609,7.40740740740741,4.0225,1.84149345118891,0.296481566200682,"NFIX",0.651318234320229
"MA1940.1","MA1940.1",2,1621,7.40740740740741,4.0525,1.82786117394384,0.299517201267152,"ETV2::DRGX",0.65340767920005
"MA0863.1","MA0863.1",2,1623,7.40740740740741,4.0575,1.82560872640971,0.300023022925355,"MTF1",0.65340767920005
"MA0102.4","MA0102.4",3,2842,11.1111111111111,7.105,1.56384392837595,0.30026537859193,"CEBPA",0.65340767920005
"MA0813.1","MA0813.1",3,2851,11.1111111111111,7.1275,1.55890720604856,0.301966067162857,"TFAP2B.2",0.655048647262373
"MA1487.2","MA1487.2",5,5446,18.5185185185185,13.615,1.36015560180085,0.303014038750868,"FOXE1",0.655267858798753
